timestamp,temperature,humidity,pressure,raw
2014-02-14T02:20:00,1.0,93.0,995.0,"{""timestamp"": ""2014-02-14T02:20:00"", ""temperature"": 1.0, ""humidity"": 93.0, ""pressure"": 995.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T02:50:00,1.0,93.0,996.0,"{""timestamp"": ""2014-02-14T02:50:00"", ""temperature"": 1.0, ""humidity"": 93.0, ""pressure"": 996.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T03:00:00,1.0,84.0,996.0,"{""timestamp"": ""2014-02-14T03:00:00"", ""temperature"": 1.0, ""humidity"": 84.0, ""pressure"": 996.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T03:20:00,1.0,87.0,996.0,"{""timestamp"": ""2014-02-14T03:20:00"", ""temperature"": 1.0, ""humidity"": 87.0, ""pressure"": 996.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T03:50:00,1.0,93.0,996.0,"{""timestamp"": ""2014-02-14T03:50:00"", ""temperature"": 1.0, ""humidity"": 93.0, ""pressure"": 996.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T04:00:00,1.0,86.0,997.0,"{""timestamp"": ""2014-02-14T04:00:00"", ""temperature"": 1.0, ""humidity"": 86.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T04:20:00,1.0,93.0,996.0,"{""timestamp"": ""2014-02-14T04:20:00"", ""temperature"": 1.0, ""humidity"": 93.0, ""pressure"": 996.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T04:50:00,1.0,87.0,997.0,"{""timestamp"": ""2014-02-14T04:50:00"", ""temperature"": 1.0, ""humidity"": 87.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T05:00:00,1.0,86.0,997.0,"{""timestamp"": ""2014-02-14T05:00:00"", ""temperature"": 1.0, ""humidity"": 86.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T05:20:00,1.0,93.0,997.0,"{""timestamp"": ""2014-02-14T05:20:00"", ""temperature"": 1.0, ""humidity"": 93.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T05:50:00,2.0,93.0,997.0,"{""timestamp"": ""2014-02-14T05:50:00"", ""temperature"": 2.0, ""humidity"": 93.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T06:00:00,2.0,89.0,998.0,"{""timestamp"": ""2014-02-14T06:00:00"", ""temperature"": 2.0, ""humidity"": 89.0, ""pressure"": 998.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T06:20:00,2.0,93.0,997.0,"{""timestamp"": ""2014-02-14T06:20:00"", ""temperature"": 2.0, ""humidity"": 93.0, ""pressure"": 997.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T06:50:00,2.0,93.0,998.0,"{""timestamp"": ""2014-02-14T06:50:00"", ""temperature"": 2.0, ""humidity"": 93.0, ""pressure"": 998.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
2014-02-14T07:00:00,2.0,91.0,998.0,"{""timestamp"": ""2014-02-14T07:00:00"", ""temperature"": 2.0, ""humidity"": 91.0, ""pressure"": 998.0, ""temp_unit"": ""C"", ""humidity_unit"": ""RH%"", ""pressure_unit"": ""hPa""}"
